,percents
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,47%
7,35%
8,4.2%
9,15%
10,39.6%
11,15%
12,80-90%
13,40%
14,10%
15,1.7%
16,1.5%
17,1.4%
18,1.9 percent
19,99 percent
20,9.3%
21,26%
22,1.5%
23,7-8%
24,0.1 percent
25,0.2 percent
26,0.4 percent
27,0.2 percent
28,0.6 percent
29,14 percent
30,50%
31,20 percent
32,50 percent
33,16.0%
34,3.1%
35,5-6%
36,0.2 percent
37,0.01 percent
38,35%
39,15%
40,40%
41,15%
42,15%
43,10%
44,0.7 percent
45,35 percent
46,2.3 percent
47,13 percent
48,around five percent
49,50 percent
50,20 percent
51,12.3 percent
52,1.3%
53,6.1%
54,a one percent
55,6.2 percent
56,21.7 percent
57,1.4%
58,5.2 percent
59,1.8 percent
60,21.7 percent
61,20%
62,39.6%
63,40%
64,40%
65,26%
66,23.8%
67,1.25%
68,70%
69,10%
70,39.4 percent
71,39.6 percent
72,20 percent
73,13.9 percent
74,17.5 percent
75,6.7 percent
76,28.2 percent
77,90%
78,0.3 percent
79,0.6 percent
80,0.7 percent
81,0.3 percent
82,7.7 percent
83,9.2 percent
84,0.2 percent
85,0.4 percent
86,0.7 percent
87,0.4 percent
88,3.5%
89,0.5 percent
90,50.7 percent
91,50.3 percent
92,52.6 percent
93,52.7 percent
94,51.5 percent
95,17%
96,51 percent
97,2.5 percent
98,grew nine percent
99,and three percent
100,5.3 percent
101,5.5%
102,15.96%
103,3.1%
104,7.8 percent
105,40%
106,2.07%
107,6.67%
108,1.73%
109,8.88%
110,40%
111,69%
112,1.73%
113,2.07%
114,48%
115,3.60%
116,6.24%
117,around five percent
118,exceeding three percent
119,to five percent
120,1.8178%
121,13.5 percent
122,20 percent
123,42 percent
124,90 percent
125,49 percent
126,49%
127,32%
128,24%
129,4.348%
130,2.701%
131,100%
132,3.1%
133,2.24%
134,98 percent
135,25 percent
136,22 percent
137,2.8 percent
138,33.4%
139,28.3 percent
140,"1,210%"
141,0.19%
142,6.5 percent
143,6.5 percent
144,6.5 percent
145,0.1 percent
146,40%
147,6.5%
148,6.5 percent
149,7.7 percent
150,1/2 percent
151,1/4 percent
152,1/4 percent
153,40%
154,26.4 percent
155,26.9 percent
156,16 percent
157,15 percent
158,80%
159,39.6%
160,10 percent
161,1.6 percent
162,4.9 percent
163,100%
164,60 percent
165,0.7 percent
166,90 percent
167,50%
168,84.69%
169,2.5 percent
170,2.6 percent
171,3.0 percent
172,50%
173,22 percent
174,43 percent
175,22 percent
176,33 percent
177,14 percent
178,215 percent
179,60 percent
180,189 percent
181,90 percent
182,4.3%
183,1.8%
184,2.83%
185,10.1%
186,8.7%
187,5.5%
188,5.5%
189,0.9%
190,0.3%
191,0.18%
192,13 percent
193,44 percent
194,1.5%
195,11%
196,6.5%
197,11%
198,20%
199,30%
200,0.1%
201,7.8%
202,7.7%
203,0.3%
204,63.6%
205,14.4%
206,1.4%
207,19%
208,13%
209,1.8%
210,2.1%
211,2.1%
212,0.3 percent
213,7.8 percent
214,16 percent
215,100 percent
216,6.5 percent
217,7.1 percent
218,6.5 percent
219,20%
220,10%
221,1.3%
222,16 percent
223,17 percent
224,4.5 percent
225,0.2 percent
226,2.2 percent
227,1.6 percent
228,65 percent
229,23 percent
230,0.52 percent
231,50 percent
232,75 percent
233,9.4 percent
234,7.2 percent
235,11 percent
236,35 percent
237,34 percent
238,10 percent
239,36 percent
240,7.6 percent
241,33 percent
242,13 percent
243,7.8 percent
244,1.4 percent
245,1.3%
246,500%
247,53%
248,0.0%
249,0.4 percent
250,0.8 percent
251,0.2 percent
252,0.4 percent
253,0.3 percent
254,0.1 percent
255,0.3 percent
256,21%
257,16%
258,32%
259,22%
260,7.8%
261,50%
262,61.8%
263,2.8%
264,0.825%
265,6.5%
266,1.94 percent
267,1.96%
268,20.2 percent
269,37.8 percent
270,7.7%
271,2.2 percent
272,5.1 percent
273,0.8 percent
274,6.5 percent
275,7.7 percent
276,7.8%
277,6.5%
278,7.6 percent
279,1.91%
280,0.1 percent
281,0.2 percent
282,0.1 percent
283,0.2 percent
284,10%
285,0.2%
286,25%
287,10%
288,14%
289,40%
290,6.5%
291,6.5%
292,95%
293,50%
294,20%
295,7.1 percent
296,7.8 percent
297,7.1 percent
